MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,197606,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197607,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197608,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197609,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197610,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197611,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197612,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197613,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197701,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197702,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197703,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197704,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197705,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197706,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197707,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197708,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197709,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197710,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197711,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197712,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197713,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197801,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197802,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197803,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197804,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197805,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197806,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197807,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197808,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197809,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197810,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,197811,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
