Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-02-14 00:00:00-05:00,1.6892938353502711,1.7008643410718483,1.6892938353502711,1.6950790882110596,3020000,0.0,0.0
1995-02-15 00:00:00-05:00,1.695079273288533,1.7066497802734375,1.695079273288533,1.7066497802734375,2069600,0.0,0.0
1995-02-16 00:00:00-05:00,1.7066497802734375,1.7124350337658898,1.6892940197960804,1.7066497802734375,5181600,0.0,0.0
1995-02-17 00:00:00-05:00,1.6979842881361642,1.7096945246060689,1.6862740516662598,1.6862740516662598,5233600,0.055,0.0
1995-02-21 00:00:00-05:00,1.686273761562534,1.6921288787901818,1.6745635271072388,1.6745635271072388,2274400,0.0,0.0
1995-02-22 00:00:00-05:00,1.6804178953170776,1.6921281245527369,1.6745627806992482,1.6804178953170776,2797600,0.0,0.0
1995-02-23 00:00:00-05:00,1.6921288787901818,1.6979839960178296,1.6745635271072388,1.6745635271072388,4688800,0.0,0.0
1995-02-24 00:00:00-05:00,1.6745633939216877,1.6979838609695435,1.6687082771597237,1.6979838609695435,2549600,0.0,0.0
1995-02-27 00:00:00-05:00,1.6921281245527369,1.6979832391705663,1.6804178953170776,1.6804178953170776,1269600,0.0,0.0
1995-02-28 00:00:00-05:00,1.6804178953170776,1.6862730099349073,1.6745627806992482,1.6804178953170776,2029600,0.0,0.0
1995-03-01 00:00:00-05:00,1.6804182079763175,1.686273323683552,1.6394323980256755,1.6452875137329102,2251200,0.0,0.0
1995-03-02 00:00:00-05:00,1.6452886592530007,1.6511437790368193,1.6277232999015452,1.6335784196853638,3764000,0.0,0.0
1995-03-03 00:00:00-05:00,1.6335784196853638,1.6394335394691824,1.6218681801177268,1.6335784196853638,2006400,0.0,0.0
1995-03-06 00:00:00-05:00,1.6218667654557661,1.6277218801325017,1.592591192072088,1.610156536102295,4612000,0.0,0.0
1995-03-07 00:00:00-05:00,1.5984464802036218,1.6218669414520264,1.5984464802036218,1.6218669414520264,3146400,0.0,0.0
1995-03-08 00:00:00-05:00,1.6277225691339245,1.6335776862890825,1.5925918662029765,1.6160123348236084,2860000,0.0,0.0
1995-03-09 00:00:00-05:00,1.6160116507790305,1.6218667654557661,1.610156536102295,1.610156536102295,1975200,0.0,0.0
1995-03-10 00:00:00-05:00,1.6160119128741806,1.6335772597532479,1.610156797247825,1.627722144126892,2410400,0.0,0.0
1995-03-13 00:00:00-05:00,1.6394335394691824,1.6394335394691824,1.6218681801177268,1.6335784196853638,1679200,0.0,0.0
1995-03-14 00:00:00-05:00,1.6394327878952026,1.651143022094454,1.633577670795577,1.6394327878952026,2367200,0.0,0.0
1995-03-15 00:00:00-05:00,1.633577670795577,1.651143022094454,1.633577670795577,1.6394327878952026,2269600,0.0,0.0
1995-03-16 00:00:00-05:00,1.656997886342062,1.674563234960529,1.6511427701359063,1.6628530025482178,3823200,0.0,0.0
1995-03-17 00:00:00-05:00,1.6687081187543735,1.6687081187543735,1.6511427701359063,1.6628530025482178,3886400,0.0,0.0
1995-03-20 00:00:00-05:00,1.6628530025482178,1.674563234960529,1.6511427701359063,1.6628530025482178,2731200,0.0,0.0
